,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
Label,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error
SEX AND AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,"4,997,675",*****,"4,997,675",(X),"735,951",*****,"735,951",(X),"7,079,203",*****,"7,079,203",(X),"3,006,309",*****,"3,006,309",(X),"39,455,353",*****,"39,455,353",(X),"5,723,176",*****,"5,723,176",(X),"3,605,330",*****,"3,605,330",(X),"981,892",*****,"981,892",(X),"683,154",*****,"683,154",(X),"21,339,762",*****,"21,339,762",(X),"10,625,615",*****,"10,625,615",(X),"1,453,498",*****,"1,453,498",(X),"1,811,617",*****,"1,811,617",(X),"12,821,813",*****,"12,821,813",(X),"6,751,340",*****,"6,751,340",(X),"3,179,090",*****,"3,179,090",(X),"2,932,099",*****,"2,932,099",(X),"4,494,141",*****,"4,494,141",(X),"4,657,305",*****,"4,657,305",(X),"1,357,046",*****,"1,357,046",(X),"6,148,545",*****,"6,148,545",(X),"6,991,852",*****,"6,991,852",(X),"10,062,512",*****,"10,062,512",(X),"5,670,472",*****,"5,670,472",(X),"2,967,023",*****,"2,967,023",(X),"6,141,534",*****,"6,141,534",(X),"1,077,978",*****,"1,077,978",(X),"1,951,480",*****,"1,951,480",(X),"3,059,238",*****,"3,059,238",(X),"1,372,175",*****,"1,372,175",(X),"9,234,024",*****,"9,234,024",(X),"2,109,366",*****,"2,109,366",(X),"20,114,745",*****,"20,114,745",(X),"10,367,022",*****,"10,367,022",(X),"773,344",*****,"773,344",(X),"11,769,923",*****,"11,769,923",(X),"3,948,136",*****,"3,948,136",(X),"4,207,177",*****,"4,207,177",(X),"12,970,650",*****,"12,970,650",(X),"1,091,949",*****,"1,091,949",(X),"5,078,903",*****,"5,078,903",(X),"881,785",*****,"881,785",(X),"6,859,497",*****,"6,859,497",(X),"28,862,581",*****,"28,862,581",(X),"3,231,370",*****,"3,231,370",(X),"641,637",*****,"641,637",(X),"8,582,479",*****,"8,582,479",(X),"7,617,364",*****,"7,617,364",(X),"1,801,049",*****,"1,801,049",(X),"5,871,661",*****,"5,871,661",(X),"576,641",*****,"576,641",(X),"3,311,274",*****,"3,311,274",(X)
Male,"2,429,703","±1,254",48.6%,±0.1,"384,749",±476,52.3%,±0.1,"3,533,895",±461,49.9%,±0.1,"1,483,520","±1,096",49.3%,±0.1,"19,714,044","±1,045",50.0%,±0.1,"2,895,936",±951,50.6%,±0.1,"1,768,860",±423,49.1%,±0.1,"477,219",±207,48.6%,±0.1,"325,490",±75,47.6%,±0.1,"10,489,548","±1,420",49.2%,±0.1,"5,191,616","±2,014",48.9%,±0.1,"732,172",±158,50.4%,±0.1,"912,529",±762,50.4%,±0.1,"6,332,176","±1,054",49.4%,±0.1,"3,344,360","±1,026",49.5%,±0.1,"1,590,001",±874,50.0%,±0.1,"1,468,152","±1,074",50.1%,±0.1,"2,223,783","±1,324",49.5%,±0.1,"2,283,561","±1,144",49.0%,±0.1,"668,308",±541,49.2%,±0.1,"2,995,146",±602,48.7%,±0.1,"3,413,174",±606,48.8%,±0.1,"4,983,325",±906,49.5%,±0.1,"2,839,135",±788,50.1%,±0.1,"1,444,255","±1,581",48.7%,±0.1,"3,027,741","±1,294",49.3%,±0.1,"545,671",±604,50.6%,±0.1,"978,863",±731,50.2%,±0.1,"1,541,789",±482,50.4%,±0.1,"683,846",±466,49.8%,±0.1,"4,539,311",±515,49.2%,±0.1,"1,048,448",±780,49.7%,±0.1,"9,821,711","±1,105",48.8%,±0.1,"5,067,666","±1,651",48.9%,±0.1,"397,093",±628,51.3%,±0.1,"5,800,004","±1,241",49.3%,±0.1,"1,964,927",±747,49.8%,±0.1,"2,096,429",±924,49.8%,±0.1,"6,394,217",±914,49.3%,±0.1,"534,283",±380,48.9%,±0.1,"2,474,059","±1,187",48.7%,±0.1,"446,461",±730,50.6%,±0.1,"3,362,099","±1,514",49.0%,±0.1,"14,398,171","±2,057",49.9%,±0.1,"1,633,843",±621,50.6%,±0.1,"318,533",±392,49.6%,±0.1,"4,245,281","±1,327",49.5%,±0.1,"3,831,964",±810,50.3%,±0.1,"896,723",±715,49.8%,±0.1,"2,937,621",±964,50.0%,±0.1,"295,204",±694,51.2%,±0.1,"1,571,861",±744,47.5%,±0.1
Female,"2,567,972","±1,254",51.4%,±0.1,"351,202",±476,47.7%,±0.1,"3,545,308",±461,50.1%,±0.1,"1,522,789","±1,096",50.7%,±0.1,"19,741,309","±1,045",50.0%,±0.1,"2,827,240",±951,49.4%,±0.1,"1,836,470",±423,50.9%,±0.1,"504,673",±207,51.4%,±0.1,"357,664",±75,52.4%,±0.1,"10,850,214","±1,420",50.8%,±0.1,"5,433,999","±2,014",51.1%,±0.1,"721,326",±158,49.6%,±0.1,"899,088",±762,49.6%,±0.1,"6,489,637","±1,054",50.6%,±0.1,"3,406,980","±1,026",50.5%,±0.1,"1,589,089",±875,50.0%,±0.1,"1,463,947","±1,073",49.9%,±0.1,"2,270,358","±1,324",50.5%,±0.1,"2,373,744","±1,146",51.0%,±0.1,"688,738",±541,50.8%,±0.1,"3,153,399",±602,51.3%,±0.1,"3,578,678",±606,51.2%,±0.1,"5,079,187",±906,50.5%,±0.1,"2,831,337",±787,49.9%,±0.1,"1,522,768","±1,581",51.3%,±0.1,"3,113,793","±1,297",50.7%,±0.1,"532,307",±604,49.4%,±0.1,"972,617",±731,49.8%,±0.1,"1,517,449",±482,49.6%,±0.1,"688,329",±466,50.2%,±0.1,"4,694,713",±515,50.8%,±0.1,"1,060,918",±780,50.3%,±0.1,"10,293,034","±1,105",51.2%,±0.1,"5,299,356","±1,652",51.1%,±0.1,"376,251",±628,48.7%,±0.1,"5,969,919","±1,241",50.7%,±0.1,"1,983,209",±747,50.2%,±0.1,"2,110,748",±925,50.2%,±0.1,"6,576,433",±914,50.7%,±0.1,"557,666",±380,51.1%,±0.1,"2,604,844","±1,187",51.3%,±0.1,"435,324",±730,49.4%,±0.1,"3,497,398","±1,514",51.0%,±0.1,"14,464,410","±2,057",50.1%,±0.1,"1,597,527",±621,49.4%,±0.1,"323,104",±391,50.4%,±0.1,"4,337,198","±1,327",50.5%,±0.1,"3,785,400",±810,49.7%,±0.1,"904,326",±715,50.2%,±0.1,"2,934,040",±968,50.0%,±0.1,"281,437",±694,48.8%,±0.1,"1,739,413",±744,52.5%,±0.1
Sex ratio (males per 100 females),94.6,±0.1,(X),(X),109.6,±0.3,(X),(X),99.7,±0.1,(X),(X),97.4,±0.1,(X),(X),99.9,±0.1,(X),(X),102.4,±0.1,(X),(X),96.3,±0.1,(X),(X),94.6,±0.1,(X),(X),91.0,±0.1,(X),(X),96.7,±0.1,(X),(X),95.5,±0.1,(X),(X),101.5,±0.1,(X),(X),101.5,±0.2,(X),(X),97.6,±0.1,(X),(X),98.2,±0.1,(X),(X),100.1,±0.1,(X),(X),100.3,±0.1,(X),(X),97.9,±0.1,(X),(X),96.2,±0.1,(X),(X),97.0,±0.2,(X),(X),95.0,±0.1,(X),(X),95.4,±0.1,(X),(X),98.1,±0.1,(X),(X),100.3,±0.1,(X),(X),94.8,±0.2,(X),(X),97.2,±0.1,(X),(X),102.5,±0.2,(X),(X),100.6,±0.2,(X),(X),101.6,±0.1,(X),(X),99.3,±0.1,(X),(X),96.7,±0.1,(X),(X),98.8,±0.1,(X),(X),95.4,±0.1,(X),(X),95.6,±0.1,(X),(X),105.5,±0.3,(X),(X),97.2,±0.1,(X),(X),99.1,±0.1,(X),(X),99.3,±0.1,(X),(X),97.2,±0.1,(X),(X),95.8,±0.1,(X),(X),95.0,±0.1,(X),(X),102.6,±0.3,(X),(X),96.1,±0.1,(X),(X),99.5,±0.1,(X),(X),102.3,±0.1,(X),(X),98.6,±0.2,(X),(X),97.9,±0.1,(X),(X),101.2,±0.1,(X),(X),99.2,±0.2,(X),(X),100.1,±0.1,(X),(X),104.9,±0.5,(X),(X),90.4,±0.1,(X),(X)
Under 5 years,"295,632",±721,5.9%,±0.1,"50,791",±205,6.9%,±0.1,"412,606",±219,5.8%,±0.1,"184,580",±615,6.1%,±0.1,"2,350,335",±669,6.0%,±0.1,"324,246",±617,5.7%,±0.1,"182,122",±306,5.1%,±0.1,"54,234",±146,5.5%,±0.1,"42,958",±71,6.3%,±0.1,"1,118,794",±656,5.2%,±0.1,"643,718","±1,139",6.1%,±0.1,"87,767",±94,6.0%,±0.1,"114,969",±407,6.3%,±0.1,"745,681",±580,5.8%,±0.1,"415,542",±694,6.2%,±0.1,"194,570",±573,6.1%,±0.1,"185,276",±472,6.3%,±0.1,"270,859",±755,6.0%,±0.1,"297,359",±614,6.4%,±0.1,"63,932",±275,4.7%,±0.1,"363,466",±254,5.9%,±0.1,"357,943",±261,5.1%,±0.1,"564,817",±401,5.6%,±0.1,"348,468",±428,6.1%,±0.1,"182,146",±810,6.1%,±0.1,"367,132",±756,6.0%,±0.1,"60,366",±327,5.6%,±0.1,"130,400",±340,6.7%,±0.1,"181,429",±344,5.9%,±0.1,"63,509",±263,4.6%,±0.1,"530,376",±267,5.7%,±0.1,"120,716",±505,5.7%,±0.1,"1,154,376",±510,5.7%,±0.1,"594,004",±994,5.7%,±0.1,"53,417",±286,6.9%,±0.1,"689,126",±572,5.9%,±0.1,"252,929",±398,6.4%,±0.1,"223,615",±490,5.3%,±0.1,"700,792",±480,5.4%,±0.1,"55,370",±205,5.1%,±0.1,"285,472",±558,5.6%,±0.1,"59,538",±414,6.8%,±0.1,"405,867",±873,5.9%,±0.1,"1,959,223","±1,151",6.8%,±0.1,"245,639",±356,7.6%,±0.1,"29,168",±200,4.5%,±0.1,"501,494",±877,5.8%,±0.1,"449,543",±445,5.9%,±0.1,"93,223",±395,5.2%,±0.1,"329,324",±423,5.6%,±0.1,"34,262",±422,5.9%,±0.1,"122,415",±443,3.7%,±0.1
5 to 9 years,"301,814","±3,661",6.0%,±0.1,"53,270","±1,228",7.2%,±0.2,"440,221","±4,305",6.2%,±0.1,"195,648","±3,051",6.5%,±0.1,"2,434,113","±10,157",6.2%,±0.1,"347,653","±3,341",6.1%,±0.1,"196,540","±3,000",5.5%,±0.1,"56,481","±1,709",5.8%,±0.2,"35,069","±1,283",5.1%,±0.2,"1,147,901","±8,006",5.4%,±0.1,"686,126","±6,311",6.5%,±0.1,"86,980","±1,512",6.0%,±0.1,"126,381","±2,032",7.0%,±0.1,"781,334","±5,000",6.1%,±0.1,"435,910","±4,905",6.5%,±0.1,"204,850","±2,037",6.4%,±0.1,"202,756","±2,491",6.9%,±0.1,"279,548","±3,360",6.2%,±0.1,"300,857","±3,994",6.5%,±0.1,"69,530","±1,650",5.1%,±0.1,"377,194","±4,026",6.1%,±0.1,"371,837","±4,199",5.3%,±0.1,"594,919","±4,017",5.9%,±0.1,"369,345","±3,206",6.5%,±0.1,"188,097","±2,873",6.3%,±0.1,"380,122","±3,653",6.2%,±0.1,"64,963","±1,404",6.0%,±0.1,"134,936","±2,172",6.9%,±0.1,"190,962","±2,718",6.2%,±0.1,"68,766","±1,650",5.0%,±0.1,"557,847","±4,767",6.0%,±0.1,"132,955","±2,392",6.3%,±0.1,"1,131,385","±6,190",5.6%,±0.1,"627,382","±5,027",6.1%,±0.1,"52,305","±1,312",6.8%,±0.2,"712,811","±5,264",6.1%,±0.1,"266,855","±2,367",6.8%,±0.1,"241,313","±2,992",5.7%,±0.1,"733,404","±5,152",5.7%,±0.1,"57,333","±1,681",5.3%,±0.2,"306,986","±3,732",6.0%,±0.1,"62,223","±1,162",7.1%,±0.1,"415,626","±3,724",6.1%,±0.1,"2,041,691","±10,026",7.1%,±0.1,"266,567","±2,723",8.2%,±0.1,"32,564",±909,5.1%,±0.1,"518,860","±4,107",6.0%,±0.1,"473,106","±3,836",6.2%,±0.1,"100,375","±1,840",5.6%,±0.1,"353,613","±3,293",6.0%,±0.1,"37,814","±1,136",6.6%,±0.2,"159,264","±2,699",4.8%,±0.1
10 to 14 years,"329,794","±3,701",6.6%,±0.1,"49,647","±1,242",6.7%,±0.2,"480,043","±4,318",6.8%,±0.1,"203,248","±3,191",6.8%,±0.1,"2,658,361","±10,085",6.7%,±0.1,"370,266","±3,365",6.5%,±0.1,"224,371","±2,950",6.2%,±0.1,"60,792","±1,685",6.2%,±0.2,"31,449","±1,286",4.6%,±0.2,"1,252,281","±7,966",5.9%,±0.1,"754,667","±6,459",7.1%,±0.1,"88,005","±1,516",6.1%,±0.1,"136,714","±2,074",7.5%,±0.1,"846,355","±4,924",6.6%,±0.1,"462,360","±4,812",6.8%,±0.1,"215,162","±2,084",6.8%,±0.1,"204,148","±2,403",7.0%,±0.1,"295,536","±3,345",6.6%,±0.1,"318,473","±3,980",6.8%,±0.1,"74,056","±1,575",5.5%,±0.1,"396,459","±3,985",6.4%,±0.1,"405,900","±4,126",5.8%,±0.1,"634,193","±3,960",6.3%,±0.1,"380,418","±3,305",6.7%,±0.1,"212,611","±2,902",7.2%,±0.1,"404,107","±3,603",6.6%,±0.1,"67,508","±1,446",6.3%,±0.1,"139,102","±2,212",7.1%,±0.1,"204,174","±2,664",6.7%,±0.1,"78,993","±1,649",5.8%,±0.1,"590,073","±4,790",6.4%,±0.1,"146,685","±2,433",7.0%,±0.1,"1,207,089","±6,344",6.0%,±0.1,"675,846","±5,144",6.5%,±0.1,"50,743","±1,261",6.6%,±0.2,"764,371","±5,183",6.5%,±0.1,"279,147","±2,284",7.1%,±0.1,"257,073","±2,901",6.1%,±0.1,"789,343","±5,175",6.1%,±0.1,"61,405","±1,656",5.6%,±0.2,"325,370","±3,726",6.4%,±0.1,"61,727","±1,196",7.0%,±0.1,"447,531","±3,689",6.5%,±0.1,"2,176,838","±9,898",7.5%,±0.1,"272,709","±2,818",8.4%,±0.1,"35,158",±890,5.5%,±0.1,"546,960","±4,138",6.4%,±0.1,"479,107","±3,842",6.3%,±0.1,"108,080","±1,969",6.0%,±0.1,"379,887","±3,304",6.5%,±0.1,"39,782","±1,155",6.9%,±0.2,"193,155","±2,769",5.8%,±0.1
15 to 19 years,"329,732","±1,283",6.6%,±0.1,"47,081",±584,6.4%,±0.1,"476,470",±904,6.7%,±0.1,"203,530","±1,195",6.8%,±0.1,"2,588,625","±1,208",6.6%,±0.1,"369,984","±1,219",6.5%,±0.1,"245,790",±509,6.8%,±0.1,"61,884",±121,6.3%,±0.1,"36,641",±372,5.4%,±0.1,"1,227,017","±1,481",5.7%,±0.1,"752,682","±2,601",7.1%,±0.1,"79,517",±374,5.5%,±0.1,"130,056",±784,7.2%,±0.1,"850,104","±1,231",6.6%,±0.1,"471,419","±1,353",7.0%,±0.1,"219,617","±1,056",6.9%,±0.1,"206,145","±1,005",7.0%,±0.1,"296,028","±1,473",6.6%,±0.1,"301,053","±1,149",6.5%,±0.1,"79,853",±493,5.9%,±0.1,"394,588","±1,008",6.4%,±0.1,"466,649",±629,6.7%,±0.1,"662,727",±924,6.6%,±0.1,"369,931",±987,6.5%,±0.1,"210,730","±1,750",7.1%,±0.1,"401,712","±1,584",6.5%,±0.1,"66,874",±689,6.2%,±0.1,"136,774",±652,7.0%,±0.1,"185,258",±663,6.1%,±0.1,"88,329",±641,6.4%,±0.1,"584,965",±725,6.3%,±0.1,"142,194",±935,6.7%,±0.1,"1,243,126","±1,501",6.2%,±0.1,"698,427","±1,992",6.7%,±0.1,"50,587",±712,6.5%,±0.1,"777,556","±1,309",6.6%,±0.1,"269,963","±1,168",6.8%,±0.1,"251,743","±1,075",6.0%,±0.1,"831,360","±1,179",6.4%,±0.1,"74,799",±676,6.9%,±0.1,"330,915","±1,446",6.5%,±0.1,"59,943",±602,6.8%,±0.1,"438,290","±1,343",6.4%,±0.1,"2,083,480","±3,128",7.2%,±0.1,"259,821",±642,8.0%,±0.1,"43,586",±445,6.8%,±0.1,"561,964","±2,301",6.5%,±0.1,"458,844","±1,058",6.0%,±0.1,"110,523",±807,6.1%,±0.1,"387,828",±863,6.6%,±0.1,"37,649",±642,6.5%,±0.1,"210,295",±869,6.4%,±0.1
