"Table 216.90. Public elementary and secondary charter schools and enrollment, by state: Selected years, 2000-01 through 2015-16    ",,,,,,,,,,,,,,,,,,
State,Number of charter schools,,,,,Fall enrollment in charter schools,,,,,Charter schools as a percent of total public schools,,,,Charter school enrollment as a percent of total fall enrollment in public schools,,,
,2000-01,2005-06,2010-11,2014-15,2015-16,2000-01,2005-06,2010-11,2014-15,2015-16,2000-01,2005-06,2010-11,2015-16,2000-01,2005-06,2010-11,2015-16
1 ,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
   United States .............,"1,993","3,780","5,274","6,747","6,855","448,343","1,012,906","1,787,091","2,721,786","2,845,322",2.1,3.9,5.3,7.0,1.0,2.1,3.6,5.7
Alabama ....................,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska ....................,19,23,27,27,28,"2,594","4,660","5,751","6,217","6,343",3.7,4.6,5.3,5.5,1.9,3.5,4.4,4.8
Arizona .....................,313,501,519,619,552,"45,596","90,597","124,467","206,667","176,894",18.2,24.1,22.9,24.2,5.4,8.3,11.6,16.0
Arkansas ..................,3,19,40,60,65,708,"4,006","10,209","20,135","24,182",0.3,1.7,3.6,6.0,0.2,0.8,2.1,4.9
California .................,302,543,908,"1,177","1,224","115,582","195,876","363,916","544,293","568,774",3.4,5.6,9.0,11.9,1.9,3.1,5.9,9.2
,,,,,,,,,,,,,,,,,,
Colorado ....................,77,121,168,214,226,"20,155","44,254","74,685","101,359","108,793",4.7,7.1,9.4,12.1,2.8,5.7,8.9,12.1
Connecticut ...............,16,14,18,22,24,"2,429","2,927","5,139","8,036","9,132",1.3,1.3,1.6,1.8,0.4,0.5,0.9,1.7
Delaware ..................,7,13,19,24,28,"2,716","6,566","9,525","12,197","13,622",3.7,5.9,8.9,12.6,2.4,5.4,7.4,10.1
District of Columbia ........,33,52,97,107,109,---,"17,260","26,910","34,541","35,798",16.7,22.7,42.5,49.1,---,22.5,37.8,43.1
Florida ...................,148,342,458,651,653,"26,893","92,335","154,703","251,825","270,953",4.5,9.2,11.1,15.7,1.1,3.5,5.9,9.7
,,,,,,,,,,,,,,,,,,
Georgia ...................,30,58,67,89,82,"20,066","26,440","41,981","71,617","72,170",1.5,2.4,2.7,3.6,1.4,1.7,2.5,4.1
Hawaii .....................,6,27,31,34,34,"1,343","6,498","8,289","10,435","10,444",2.3,9.5,10.7,11.7,0.7,3.5,4.6,5.7
Idaho ........................,9,26,40,52,54,"1,083","8,003","15,330","19,079","19,381",1.3,3.7,5.3,7.3,0.4,3.1,5.6,6.6
Illinois ..................,20,29,50,68,64,"7,552","16,968","43,049","62,446","64,108",0.5,0.7,1.1,1.5,0.4,0.8,2.1,3.2
Indiana ....................,0,29,60,80,88,0,"7,409","22,472","37,448","39,671",0.0,1.5,3.1,4.6,0.0,0.7,2.2,3.8
,,,,,,,,,,,,,,,,,,
Iowa ........................,0,6,7,3,3,0,520,298,322,430,0.0,0.4,0.5,0.2,0.0,0.1,0.1,0.1
Kansas .....................,1,26,25,11,10,67,"1,914","4,618","2,758","3,186",0.1,1.8,1.8,0.8,#,0.4,1.0,0.7
Kentucky ..................,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana ...................,19,26,78,135,138,"3,212","8,315","29,199","69,817","74,030",1.2,1.9,5.3,9.9,0.4,1.3,4.2,10.3
Maine .....................,1,0,0,6,7,154,0,0,857,"1,518",0.1,0.0,0.0,1.1,0.1,0.0,0.0,0.9
,,,,,,,,,,,,,,,,,,
Maryland ....................,0,15,44,47,50,0,"3,363","14,492","19,337","20,988",0.0,1.0,3.0,3.5,0.0,0.4,1.7,2.4
Massachusetts ..............,41,59,63,80,81,"13,712","21,958","28,422","37,402","40,199",2.2,3.1,3.4,4.4,1.4,2.3,3.0,4.2
Michigan .....................,205,264,300,375,370,"54,751","91,384","111,344","142,752","145,483",5.1,6.5,7.7,10.7,3.3,5.3,7.2,9.8
Minnesota ...................,73,161,176,205,216,"9,395","20,603","37,253","47,747","50,812",3.1,6.1,7.4,8.7,1.1,2.5,4.4,5.9
Mississippi ...............,1,1,0,0,2,367,374,0,0,226,0.1,0.1,0.0,0.2,0.1,0.1,0.0,#
,,,,,,,,,,,,,,,,,,
Missouri ...................,21,23,53,62,70,"7,061","10,972","20,076","20,012","21,619",0.9,1.0,2.2,2.9,0.8,1.2,2.2,2.4
Montana .....................,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska ....................,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada ....................,8,19,34,45,47,"1,255","4,818","14,127","28,975","35,130",1.6,3.4,5.3,7.1,0.4,1.2,3.2,7.5
New Hampshire ..................,0,6,14,28,31,0,200,983,"2,547","3,011",0.0,1.3,2.9,6.3,0.0,0.1,0.5,1.7
,,,,,,,,,,,,,,,,,,
New Jersey .................,53,54,76,87,89,"10,179","14,937","24,591","37,257","41,026",2.2,2.2,2.9,3.4,0.8,1.1,1.8,3.0
New Mexico .................,10,53,81,97,99,"1,335","8,595","15,290","22,715","22,079",1.3,6.2,9.4,11.2,0.4,2.6,4.6,6.6
New York ..................,38,79,170,248,256,0,"21,539","54,443","106,483","117,710",0.9,1.7,3.6,5.3,0.0,0.8,2.0,4.3
North Carolina ............,90,99,99,149,158,"15,523","27,441","42,141","70,244","82,521",4.1,4.2,3.9,6.1,1.2,1.9,2.8,5.3
North Dakota ................,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
Ohio .......................,66,316,339,381,373,"14,745","68,679","96,669","122,437","118,603",1.7,7.9,9.0,10.3,0.8,3.7,5.5,6.9
Oklahoma ....................,6,14,18,35,45,"1,208","4,081","6,585","16,585","19,893",0.3,0.8,1.0,2.5,0.2,0.6,1.0,2.9
Oregon ......................,12,54,108,126,126,559,"5,192","20,372","29,883","30,728",0.9,4.3,8.3,10.1,0.1,1.0,3.7,5.4
Pennsylvania ...............,65,116,145,185,175,"18,981","55,630","90,613","132,766","130,940",2.0,3.6,4.5,5.8,1.0,3.0,5.1,7.7
Rhode Island ..............,3,11,16,25,29,557,"2,571","3,971","6,433","7,310",0.9,3.3,5.0,9.3,0.4,1.7,2.8,5.2
,,,,,,,,,,,,,,,,,,
South Carolina .............,8,27,44,66,68,484,"4,104","16,390","27,055","29,470",0.7,2.3,3.6,5.4,0.1,0.6,2.3,3.9
South Dakota ..............,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee .................,0,12,29,80,100,0,"1,685","6,517","22,142","29,274",0.0,0.7,1.6,5.4,0.0,0.2,0.7,2.9
Texas .....................,201,319,561,681,702,"37,978","70,895","164,940","262,103","284,617",2.7,3.7,6.4,8.0,1.0,1.6,3.3,5.4
Utah ......................,8,36,78,110,117,537,"11,439","39,862","61,411","67,398",1.0,3.8,7.7,11.3,0.1,2.2,6.8,10.4
,,,,,,,,,,,,,,,,,,
Vermont ....................,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia ....................,2,3,4,7,7,55,210,348,883,"1,001",0.1,0.1,0.2,0.3,#,#,#,0.1
Washington ..................,0,0,0,1,9,0,0,0,0,"1,225",0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1
West Virginia .............,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wisconsin ...................,78,181,207,244,242,"9,511","27,450","36,863","44,109","44,162",3.6,8.1,9.2,10.7,1.1,3.1,4.2,5.1
Wyoming ......................,0,3,3,4,4,0,238,258,459,468,0.0,0.8,0.8,1.1,0.0,0.3,0.3,0.5
---Not available.,,,,,,,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""Public Elementary/Secondary School Universe Survey,"" 2000-01 through 2015-16. (This table was prepared August 2017.)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
