month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202301,32020,"Marion, OH",515,134900,-0.0357,0.1251,70,-0.2011,0.287,63,-0.0271,0.1009,28,-0.2222,-0.3636,0,,,24,0,0.2,39,-0.061,-0.1047,105,-0.0441,0.2571,1497,0.0184,0.1307,166484,-0.0205,0.1942,112,-0.125,0.1089,0.554,0.0827,-0.2423,0
202301,10780,"Alexandria, LA",295,199950,-0.0743,0.0808,263,-0.042,0.5173,85,0.086,0.152,122,0.6053,0.0517,4,0,0,74,0.5417,0.4231,113,-0.0132,-0.368,114,-0.0193,0.1496,1812,-0.0023,-0.01,246253,-0.0252,0.092,374,-0.0398,0.0671,0.4286,0.0125,-0.6003,0
202301,49220,"Wisconsin Rapids-Marshfield, WI",449,212450,0.0168,0.2323,60,-0.0909,0.2766,76,0.1836,0.1836,38,0.3571,0.9,0,,,18,0.5,1.25,56,-0.2,-0.1515,114,-0.009,0.1305,1806,-0.0093,0.0886,270261,-0.0779,0.3468,116,-0.1471,0.0087,0.9333,-0.1273,-0.4709,1
202301,17700,"Coffeyville, KS",794,97900,0.0305,0.3986,70,-0.0278,-0.0541,85,-0.0449,0.25,24,0.2,-0.4545,0,,,12,-0.25,-0.25,38,-0.1163,-0.2083,71,-0.001,0.3169,1617,0.0277,0.1613,163281,-0.0289,0.7648,109,-0.0684,-0.0917,0.5429,-0.0544,-0.1058,0
202301,48940,"Wilmington, OH",668,236750,0.0935,0.1838,52,-0.2426,0.7167,55,0.2733,0.7661,36,0.2857,0,0,,,22,-0.2143,0.8333,46,0.0581,-0.125,147,0.016,0.183,1660,0.0511,0.0325,251991,0.0076,0.0844,95,-0.1441,0.1446,0.8835,0.2511,-0.8498,1
202301,12120,"Atmore, AL",757,196000,-0.0151,0.225,56,-0.1328,-0.0902,109,0.2765,1.028,20,0.25,-0.2857,0,,,6,-0.5,0.5,22,-0.2143,-0.1852,106,-0.0098,0.1213,1862,0.0022,-0.0005,258899,-0.0197,0.2075,78,-0.1484,-0.1193,0.3964,-0.0411,-0.0462,1
202301,19260,"Danville, VA",372,189450,-0.1716,-0.0285,96,0.0852,0.3082,54,-0.1563,-0.3374,82,1.9286,0.8636,0,,-1,32,1.6667,1,62,-0.1214,-0.3971,106,-0.0549,-0.0795,1855,-0.0443,0.0772,239788,-0.1023,-0.1132,156,-0.0429,-0.1333,0.644,-0.1515,-0.7533,1
202301,37260,"Palatka, FL",468,294900,0,0.1128,227,-0.0321,0.6654,95,0.0272,0.2945,72,1,0,2,-0.5,-0.5,86,0.6538,1.3889,66,-0.0435,-0.4923,188,0,0.1831,1545,0,-0.096,416297,-0.0126,-0.0161,294,-0.0068,0.1011,0.2914,-0.0035,-0.6645,0
202301,22580,"Forest City, NC",487,322000,-0.0242,0.0404,155,-0.1292,0.6146,86,0.1712,0.5268,52,0.4444,-0.2778,2,,,52,0.625,3.3333,90,0.0915,-0.0165,179,-0.0084,-0.0397,1675,0.0016,0.0698,462615,-0.0647,0.0176,237,-0.0814,0.2742,0.5774,0.1167,-0.3705,1
202301,36540,"Omaha-Council Bluffs, NE-IA",57,407500,0.0216,0.1014,1474,-0.0825,1.1733,68,0.1333,0.3878,904,0.2418,0.0089,104,0.8571,0.625,250,-0.0942,1.7174,1330,-0.0677,-0.2735,183,0.0089,0.1269,2197,0.0178,0.0614,445520,0.0261,0.0801,2804,-0.0732,0.1147,0.9023,0.0144,-1.7968,1
