State,Abbreviation,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212
Alabama,AL,5.9,5.9,5.9,5.9,5.8,5.7,5.5,5.2,5,4.8,4.6,4.4,4.3,4.2,4.1,4,4,4,4,4,4,4,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.4,3.2,3.1,2.9,2.9,2.9,2.9,3,3.1,3.2,3.3,3.4,3.6,13.7,10.4,8.7,7.7,6.6,6.1,5.3,4.8,4.4,4,3.8,3.7,3.6,3.6,3.5,3.4,3.3,3.2,3.1,3.1,3.1,3.1,3,2.9,2.8,2.7,2.6,2.6,2.6,2.6,2.7,2.7,2.8
Alaska,AK,6.6,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,6.3,6.2,6.1,6,5.9,5.9,5.9,5.8,5.8,5.9,5.9,5.9,5.8,5.7,5.6,5.5,5.5,5.5,5.5,5.5,5.4,5.3,5.2,5.2,5.2,5.2,5.2,11.9,11.9,11.3,11.2,7.8,7.7,7.3,7.2,7.3,7.1,7,7,7,6.8,6.8,6.5,6.3,5.9,5.7,5.5,5.5,5.6,5.3,4.9,4.8,4.6,4.6,4.5,4.6,4.4,4.5,4.5,4.3
Arizona,AZ,5.5,5.4,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5,5,4.9,4.9,4.8,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.9,4.9,5,5,5,4.9,4.9,4.8,4.8,4.8,4.8,4.9,4.8,4.8,4.9,4.9,5,5,5.1,13.9,11,9.5,8.6,7.6,7.2,6.7,6.5,6.3,6.1,6,5.8,5.6,5.4,5.2,4.9,4.5,4.2,3.9,3.9,3.9,3.7,3.6,3.3,3.2,3.2,3.3,3.3,3.5,3.7,3.9,4.1,4
Arkansas,AR,4,4,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.6,3.6,3.7,3.7,3.6,3.5,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.6,4.9,10,8.7,7.6,7.1,6.2,5.8,5.4,5.2,5,4.9,4.8,4.6,4.5,4.4,4.2,4,3.8,3.5,3.4,3.3,3.3,3.2,3.1,3.1,3.2,3.2,3.2,3.3,3.4,3.5,3.6,3.7,3.6
California,CA,5.5,5.5,5.5,5.5,5.4,5.4,5.2,5.1,5,5,4.9,4.9,4.8,4.8,4.7,4.6,4.5,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.2,4.2,4.1,4.1,4,4,4.1,4.1,4.1,4.1,4.1,4.1,4.1,5.5,15.9,16.1,14.1,13.4,11.9,10.3,9.5,9.2,9.2,8.8,8.6,8.4,8.3,7.9,7.9,7.4,7,6.4,6.1,5.8,5.8,5.7,5.3,4.8,4.6,4.3,4.2,3.9,4.1,3.8,4,4.1,4.1
Colorado,CO,3.2,3.1,3,3,2.9,2.7,2.6,2.5,2.4,2.4,2.4,2.5,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,3,3.1,3.1,3.1,3.1,3.1,3.1,3,2.9,2.8,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.8,4.8,11.6,11.8,11,6.6,6.2,6.4,6.1,6.2,6.4,6.2,6.2,6.1,6.1,5.8,5.9,5.6,5.3,4.7,4.5,4.3,4.2,4.2,4,3.7,3.6,3.5,3.4,3.3,3.4,3.4,3.6,3.5,3.3
Connecticut,CT,4.8,4.7,4.7,4.7,4.6,4.6,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.2,2.9,2.9,2.9,3,3.1,3.1,3.1,3.1,3.1,3.1,3,2.9,2.8,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.8,4.8,11.6,11.8,11,6.6,6.2,6.4,6.1,6.2,6.4,6.2,6.2,6.1,6.1,5.8,5.9,5.6,5.3,4.7,4.5,4.3,4.2,4.2,4,3.7,3.6,3.5,3.4,3.3,3.4,3.4,3.6,3.5,3.3
Delaware,DE,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.6,4.6,4.6,4.5,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.1,4,3.9,3.8,3.7,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,5,13.1,13.3,12.7,7.7,7.5,7.6,5.3,5.4,5.6,5.7,5.7,5.8,5.8,5.7,5.7,5.5,5.3,5,4.9,4.8,4.8,4.8,4.6,4.5,4.5,4.5,4.5,4.4,4.5,4.3,4.3,4.4,4.4
Florida,FL,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4,4,3.9,3.9,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.6,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3,2.9,2.9,2.8,2.7,4.5,13.2,13.9,11.6,12.5,8.9,8.7,7.2,6.7,6.5,6,5.6,5.4,5.1,4.9,4.8,4.5,4.3,3.9,3.7,3.5,3.5,3.5,3.3,3.2,3,2.9,2.8,2.7,2.7,2.5,2.7,2.6,2.5
