,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Abbreviation,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301
Alabama,AL,82,81.6,78.6,68.5,57.8,50.1,52.4,55.6,58.4,67.2,69.9,75.8,80.6,78.8,73.4,65.8,55.6,46.9,40.4,58,55.4,59.5,74.4,79.3,80.7,79.5,79.4,67.4,50.4,49,46.5,56.1,55,63.5,74.2,78.1,80.6,80.6,80.2,67.8,50.6,51.3,49.5,51,63.5,62,68.9,76.9,80.9,80.2,74.3,66.9,58.4,45.9,46.6,46.7,59.6,61.6,69.4,77,79.3,80,73.9,67.3,52.2,56.8,44,50.1,57.4,62.5,73.5,80.2,81.6,79.3,73.8,61.2,55.3,49,51.4
Alaska,AK,55.6,53.2,42.3,29.7,13.3,6.2,4.5,6.6,4.9,29.6,40.8,51.4,56.2,50.2,42.6,30.2,15.8,19.1,6.7,12.6,18,26.8,39.4,50,55.6,49.6,44.3,33.8,19.1,9.1,7.5,15.5,26.5,28.5,43,54,58.1,51.5,44.4,30.8,19.8,6.7,-6.4,1.5,12,27.5,43.3,50.5,53.2,52.1,42,28.9,14.5,10.6,10.6,1,9.1,23.9,40.3,50.9,53.9,49.4,39.4,27.9,4.6,6.8,3.6,8.6,16.7,25.1,39.9,52.7,53.4,50.1,42.9,28.6,16.4,7.4,10.9
Arizona,AZ,82.4,77.5,71.6,66.1,53.1,44.7,42.3,49.4,56.6,59.9,66.1,79.8,81.5,79.1,72.4,65.1,57.6,46.6,47.6,46.7,52.3,62.9,68.5,78.6,82.3,80.2,76,59.9,49.4,42.8,42.4,40.9,51.7,60.3,60.7,75.2,81.9,81.9,73.8,60,52.1,42.2,43.7,45.9,51,59.3,70.5,76.8,82.8,84.1,75.6,66.2,53.5,42,42.6,46.5,49.4,61.2,67.9,80.6,81.5,79.5,74.8,59.9,55.8,45.6,43.6,44.2,51.8,60.8,68.6,78.5,82,78.6,75.5,61.6,46,43,40.5
Arkansas,AR,82,80,75.8,67,55.7,42.5,45.2,52.5,55.7,64.2,67.7,75.5,80.6,76.9,73.2,62.9,53.7,42.4,35.7,45.9,53.9,55.2,75,80.1,81.8,78.8,75,62.6,45.8,44.2,40.8,46,48.9,60.8,70.6,75.6,79,80.3,79.7,60.8,46.4,45.7,43.9,44.5,56.5,58.8,66.8,76.4,81.3,77.8,71.8,59.4,54,42.6,41.4,34.8,55.2,58.4,66.8,76.9,79.3,80.7,74.3,65.5,49.4,53.4,38.7,42.1,52,59.8,70.9,78.1,84.1,79.4,73.8,61.2,49.8,43.2,46.6
California,CA,76.8,76.2,69.5,60.5,52.8,43.4,42.2,47.3,53.4,55.6,63.4,72.8,78.8,77.9,69.8,62,53.4,47.5,48.9,46.6,49,57.2,63,71.4,79.6,76.4,71.1,60.9,52.6,44.8,46.1,40.6,48.9,58.2,58.6,71.1,75.5,76.8,68.9,58.8,53,44.4,45.3,49.2,48,56.6,64.6,70.4,76.6,78.9,74,66.2,50.9,45.5,45.5,47.4,48.2,58.2,64.5,74.9,79.8,77,72.2,58.2,54.8,43.5,46.5,48,53.1,55.8,62.3,72,77.6,78.3,73.5,64.1,46.6,43.1,42.7
Colorado,CO,69.2,64.5,59.7,51.8,40.2,25.2,25.3,35.4,42.5,44.3,51.5,64.8,69.4,64.7,59.1,46.7,41.3,30.1,29.7,28.6,37.8,44,57.2,66.5,70,66.2,61.9,45,32.5,26.6,26,24.9,33.8,45.5,47.9,60.6,69.1,68.3,62.9,40.9,35.2,28.1,27.4,26.4,38.8,43.4,55.6,65,69.3,70.1,58.8,47.1,38.5,26.7,26.7,24.8,35.8,43.1,52.9,65.7,70,67.4,62.4,47.8,40.7,32.4,26.5,25,35,43.7,53.3,64.3,70.3,67.8,62.5,47.6,31.3,25.7,24.2
Connecticut,CT,74.1,73.9,66.2,53.5,43.5,32.6,32.7,34.6,33.4,51.8,56.7,67,71.5,69.1,66,58.6,41,28.7,25.4,35.7,36.4,43.4,62.2,66.4,74,74.3,66.1,52.3,39.1,33.8,27,30.2,35,49.1,57.1,66.5,74.9,70.6,63.2,53.6,38.1,31.7,33,33.9,41.4,44.4,56.4,68.4,75.6,72.6,63.5,53.2,45.4,33.6,29.2,28.5,39.3,48.7,57.8,69.2,71.1,72.8,65.2,56.8,41,37,24.2,30.6,38.9,47.5,60.7,66.2,74.1,74.4,63.5,52.3,45,33.4,37.1
Delaware,DE,79.6,78.6,72,60.3,49,39.2,39.1,44.4,43.8,59.6,62.8,73.6,78.4,74,69.8,62.4,47.5,36.1,32.8,43.2,40.5,51.6,68.3,72.6,77.2,78.6,73.6,60.2,45.7,41.4,35.3,38.7,43.2,58.7,66.9,73.8,79.8,76.4,71.6,61.5,43.6,40,40.2,41.9,49.5,51.8,60.6,73.7,80.7,77.2,68.7,60,51.8,39.7,36.2,35.6,47.6,55.3,63.3,73.8,77.7,76.9,70.1,63.2,45.1,44,31.6,39.1,47,53.2,64.8,72.4,78.7,78,69.1,55.6,49.8,37.7,43.5
Florida,FL,84,83,81.1,74.6,66.6,65.9,62.8,65.5,66.2,72.3,77.1,80.2,82.8,82.8,80.4,74.9,67.4,61.7,55,69.2,63,70.2,76.4,81.5,82.4,82.2,82.4,76.5,66.7,61.8,58.4,67.5,65.7,71.2,78.8,82.3,82.8,82.9,81.9,77.9,64.9,63.9,61.8,63.6,71,73.1,75.8,81,83,83.2,80.6,77.2,70.8,57.6,58.7,63.7,67.8,69.9,76.1,80.7,81.9,82.6,79.7,75.3,63.4,66.5,57.6,63,68.4,71.8,77.6,81.9,83,82.8,79.9,71.8,69.7,61.4,62.1
